Name,Category,Matrix unit,"Energy, kilocalories (kcal)","Fat, total (g)","Fatty acids, saturated (g)","Fatty acids, monounsaturated (g)","Fatty acids, polyunsaturated (g)",Cholesterol (mg),"Carbohydrates, available (g)",Sugars (g),Starch (g),Dietary fibres (g),Protein (g),Salt (NaCl) (g),Alcohol (g),Water (g),"Vitamin A activity, RE (µg-RE)","Vitamin A activity, RAE (µg-RE)",Retinol (µg),Beta- carotene activity (µg-BCE),Beta-carotene (µg),Vitamin B1 (thiamine) (mg),Vitamin B2 (riboflavin) (mg),Vitamin B6 (pyridoxine) (mg),Vitamin B12 (cobalamin) (µg),Niacin (mg),Folate (µg),Panthotenic acid (mg),Vitamin C (ascorbic acid) (mg),Vitamin D (calciferol) (µg),Vitamin E (?-tocopherol) (mg),Potassium (K) (mg),Sodium (Na) (mg),Chloride (Cl) (mg),Calcium (Ca) (mg),Magnesium (Mg) (mg),Phosphorus (P) (mg),Iron (Fe) (mg),Iodide (I) (µg),Zinc (Zn) (mg),Selenium (Se) (µg)
Maize starch,"Cereal products, pulses and potatoes/Flour and starch;Various/Gelling and binding agents",per 100g edible portion,354,tr.,tr.,tr.,tr.,0,88,tr.,88,0.6,0.3,0,0,11,32,16,0,190,104,0,0,tr.,0,tr.,1,tr.,0,0,0,5,6,6,1,2,22,0.5,2.5,0.6,n.d.
"Malt drink with cocoa, with vitamin and mineral fortified, powder ",Non-alcoholic beverages/Beverages based on malt extract,per 100g edible portion,382,3.6,2.4,1.1,0.1,4,76.2,52.1,0,4.4,8.9,0.5,0,5.2,637,637,637,1,1,0.88,1.11,1.11,1.99,12.74,238,4.78,47.7,4,9.55,660,200,59,440,190,470,12,2.8,1.5,n.d.
"Malt drink with cocoa, with vitamin and mineral fortified, prepared (with milk)",Non-alcoholic beverages/Beverages based on malt extract;Milk and dairy products/Milk and yoghurt beverages,per 100g edible portion,81,3,1.8,0.7,0.1,11,9.8,8.1,0,0.3,3.6,0.1,0,83.1,73,72,71,13,13,0.08,0.23,0.1,0.35,0.99,21.4,0.65,4,0.3,0.75,200,50,95,140,23,120,0.8,9.9,0.4,n.d.
"Mandarin, fresh",Fruit/Fresh fruit,per 100g edible portion,47,0.2,tr.,tr.,tr.,0,9.2,8.6,tr.,1.7,0.8,0,0,87,30,15,0,178,148,0.09,0.03,0.06,0,0.32,18.1,0.19,39.4,0,0.21,140,1,4,23,9.3,18,0.1,1,0.1,<0.5
"Mango, dried",Fruit/Dried fruit,per 100g edible portion,293,2.2,0.5,0.9,0.4,0,61.1,59.9,1.3,8.4,2.9,0.1,0,20,509,254,0,3053,3053,0.08,0.12,0.27,0,1.97,142,0.55,36.7,0,4.42,840,25,25,59,88,64,2,8,0.6,2
"Mango, fresh",Fruit/Fresh fruit,per 100g edible portion,68,0.6,0.1,0.2,0.1,0,14.3,12.9,1.1,1.6,0.6,0,0,81.1,88,44,0,530,530,0.03,0.04,0.06,0,0.5,50.4,0.18,37.3,0,0.93,150,4,27,15,9,13,0.1,1.6,0.1,0.2
"Manioc, tuber, cooked (without addition of salt)",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,131,0.2,0.1,0.1,0,0,29.8,0.4,29.4,2.8,1,0,0,62.8,5,2,0,29,29,0.05,0.03,0.15,0,0.45,15.1,0.38,21,0,0,220,0.8,45,30,59,35,0.7,1.8,0.3,0.6
"Manioc, tuber, raw",Vegetables/Fresh vegetables,per 100g edible portion,140,0.2,0.1,0.1,0,0,32.1,0.5,31.6,2.9,1,0,0,62.8,5,3,0,30,30,0.06,0.03,0.2,0,0.6,24,0.5,30,0,0,270,1,50,32,65,38,0.7,2,0.3,0.7
Maple syrup,Sweets/Sugar and sweeteners,per 100ml food volume,358,0.3,0,0.1,0.1,0,88.7,77.3,0,0,0,0,0,42.4,0,0,0,0,0,0.02,0.97,0,0,0.22,0,0.05,0,0,0,280,15,55,96,30,2.6,0.1,0,2.6,0.8
Marble cake,Sweets/Cakes and tarts,per 100g edible portion,356,17.1,9.5,4.3,1.2,109,42.6,19.7,22.7,1.3,7.4,0.2,0,32,149,144,139,57,57,0.07,0.12,0.07,0.29,0.16,10.1,0.55,0.2,0.8,0.67,140,63,110,44,19,110,1,10,0.8,n.d.
"Margarine, 35 - 40 % fat",Fats and oils/Fats;Fats and oils/Fats,per 100g edible portion,357,39,11,18,10,<1,1.1,0.4,0.7,0,0.3,0.3,0,59.6,91,46,0,543,543,<0.05,0.03,<0.05,<0.1,<0.05,<5,0.05,0,4.6,9.46,200,120,180,2.2,0.7,16,0,<1,0,0
"Margarine, without butter, 70 - 80 % Fett",Fats and oils/Fats,per 100g edible portion,696,77,23.8,37.3,14,0,0.2,0.1,0.1,0,<0.5,0.2,0,20,29,15,0,176,176,0.01,0.03,0,0.03,0.21,2,0.08,0,3.3,11.8,42,80,120,10,1.8,23,0.1,1.5,0,0
Marzipan,Sweets/Other sweets,per 100g edible portion,474,17.6,1.5,12,3.3,tr.,68.6,68.6,0,4.9,8,0,0,1.9,13,13,12,6,6,0.07,0.2,0.05,tr.,1.36,31,0.19,0.3,tr.,8.49,270,2,14,82,72,150,1.5,0.7,0.9,n.d.
"Mashed potatoes, instant, prepared (with water and butter)","Cereal products, pulses and potatoes/Potatoes",per 100g edible portion,80,2.8,1.6,0.6,0.2,8,11.5,1.8,9.7,0.8,2,0.6,0,83,27,26,25,12,12,0.02,0.07,0.12,0.05,0.79,4.6,0.21,3.1,0.1,0.09,220,220,410,46,13,67,0.4,1.2,0.2,n.d.
"Mashed potatoes, prepared (with cream and butter)","Cereal products, pulses and potatoes/Potatoes",per 100g edible portion,139,8.4,5,2,0.5,24,12.9,1.1,11.7,1.6,2,0.1,0,75,94,91,88,39,39,0.06,0.06,0.1,0.03,0.88,10.6,0.32,12.5,0.1,0.23,300,54,120,17,19,52,0.2,4.2,0.2,n.d.
"Mashed potatoes, prepared (with full fat milk and butter)","Cereal products, pulses and potatoes/Potatoes",per 100g edible portion,90,2.8,1.7,0.6,0.2,8,13.2,1.4,11.7,1.6,2.2,0.1,0,80.1,30,29,27,16,16,0.06,0.08,0.1,0.03,0.89,11.2,0.33,12.7,0,0.11,310,56,130,26,20,56,0.2,4.8,0.2,0.4
"Mashed potatoes, prepared (with partially skimmed milk and butter)","Cereal products, pulses and potatoes/Potatoes",per 100g edible portion,88,2.6,1.5,0.6,0.2,7,13.2,1.4,11.7,1.6,2.2,0.1,0,80.3,28,26,25,15,15,0.06,0.07,0.1,0.03,0.89,11.2,0.33,12.6,0,0.11,310,56,130,27,20,57,0.2,4.9,0.2,0.4
Mayonnaise,Fats and oils/Mayonnaise,per 100g edible portion,742,81.7,12.1,23.3,42.5,150,0.5,0.5,tr.,0,1.1,1,0,14.7,9,9,9,0,0,0.02,0.05,0.1,0.5,0.03,10,0.5,0,0.5,43.7,25,410,500,15,7,46,0.6,6,0.2,n.d.
"Mayonnaise, low calorie",Fats and oils/Mayonnaise,per 100g edible portion,327,34.5,4.6,6.7,19.6,131,3.3,tr.,tr.,0,0.9,0.7,0,59.4,0,0,0,0,0,0.05,0.16,0.06,0.6,0.12,26,0.71,4.6,0.6,16.57,88,280,470,66,12,140,1,5.3,0.6,n.d.
"Mayonnaise, with rapeseed oil, home-made",Fats and oils/Mayonnaise,per 100g edible portion,792,86.9,7,51.3,24,184,0.1,0.1,0,0,2.4,0.4,0,10.6,67,66,65,12,12,0.03,0.09,0.05,0.5,0.01,18.4,0.67,1.1,0.8,25.5,21,150,240,20,2,82,0.8,17,0.6,7
"Meat (average excluding offal), raw ","Meat and offal/Veal;Meat and offal/Poultry;Meat and offal/Lamb, mutton;Meat and offal/Beef;Meat and offal/Pork;Meat and offal/Game",per 100g edible portion,146,6.7,2.4,2.9,0.7,62,0,0,0,0,21.4,0.1,0,71.9,6,6,5,2,2,0.45,0.18,0.46,1.32,5.55,5.8,0.82,0.1,0.6,0.37,330,59,66,6.5,22,190,1.1,2,2.7,n.d.
"Meat lasagne, prepared",Prepared dishes/Italian dishes,per 100g edible portion,141,6,3,1.9,0.4,25,12.3,2.3,9.7,1.5,8.8,0.9,0,71.6,110,73,36,446,446,0.03,0.08,0.08,0.24,0.9,9.3,0.22,3.4,0.1,0.59,160,350,630,87,17,110,0.9,4.7,1.6,n.d.
"Meat loaf, baked in the oven",Prepared dishes/Other savoury dishes,per 100g edible portion,166,7.7,2.1,4.2,0.9,68,8.1,0.7,7.2,0.6,15.7,2.2,0,67.8,13,10,7,39,39,0.13,0.11,0.12,0.71,2.19,10.8,0.4,1.4,0.3,0.68,170,890,1620,12,16,120,1.3,5.3,2.6,n.d.
"Meat, chopped (average of beef, veal, pork, poultry), pan fried (without addition of fat and salt)",Meat and offal,per 100g edible portion,150,3.8,1.2,1.5,0.5,81,0.1,0,0,0,28.9,0.2,0,67.2,5,5,4,3,3,0.33,0.18,0.49,0.84,6.75,4.9,0.94,0,0.7,0.36,370,62,83,8.6,26,230,1,1.9,3,n.d.
"Meat, chopped (average of beef, veal, pork, poultry), raw",Meat and offal/Veal;Meat and offal/Pork;Meat and offal/Beef;Meat and offal/Poultry,per 100g edible portion,118,3.3,1,1.4,0.4,59,0.1,0,0,0,22,0.1,0,74.6,4,4,4,3,3,0.35,0.14,0.54,0.8,6.01,4.7,0.83,0,0.6,0.31,340,53,60,6.4,22,200,0.8,1.4,2.3,n.d.
"Melon, cantaloupe, raw",Fruit/Fresh fruit,per 100g edible portion,62,0.1,0,0,0,0,14.8,10.6,tr.,1.3,1.1,0.1,0,84.2,462,231,0,2774,2774,0.05,0.02,0.08,0,0.82,37,0.12,41.9,0,0.08,380,24,18,11,16,17,0.2,2,0.2,0.5
"Meringue, biscuit",Sweets/Other sweets,per 100g edible portion,401,<0.5,0,0,0,0,94,94,0,0,5,0.3,0,1,0,0,0,0,0,0,0.25,0,0,0.1,0,0.2,0,0,0,90,100,tr.,4,5,22,0.2,tr.,tr.,n.d.
"Milanese cookie, butter, sweet",Sweets/Cookies/Biscuits,per 100g edible portion,431,20.8,11.6,5.1,1.5,124,53.2,22.5,30.4,1.4,7.1,0.1,0,18,182,176,170,70,70,0.08,0.06,0.08,0.24,0.14,8.7,0.44,0,0.7,0.82,100,47,87,18,17,96,1,7.9,0.8,4.9
Milk (average),Milk and dairy products/Milk,per 100ml food volume,59,2.9,1.7,0.7,0.1,11,4.8,4.8,0,0,3.2,0.1,0,89,31,29,28,14,14,0.02,0.16,0.03,0.22,0.11,5.1,0.34,0.7,0.1,0.09,160,39,98,120,11,92,0,10,0.4,1.3
Milk chocolate,Sweets/Chocolate and cocoa products,per 100g edible portion,537,31.1,19.3,10.4,1.2,12,56.9,55.2,0.6,1.9,6.5,0.5,0,1.3,65,62,59,36,36,0.09,0.4,0.04,0,0.4,7,0.19,2.8,0,0.25,640,190,130,250,55,240,2.1,17,1.6,n.d.
Milk chocolate filled with nuts (chocolate bar),Sweets/Chocolate and cocoa products,per 100g edible portion,558,35.7,16.7,14.4,2.4,7,49.1,47.3,0.6,3.7,8.3,0.2,0,3.9,24,23,22,13,13,0.13,0.28,0.13,0.24,0.52,19.7,0.75,1.1,0.1,3.12,430,63,130,190,79,210,1.5,5.4,1.3,n.d.
"Milk chocolate with almond, honey, nougat",Sweets/Chocolate and cocoa products,per 100g edible portion,536,31.5,17.8,10,1.8,14,54.8,54.3,0.4,1.8,7.3,0.2,0,4.8,50,48,46,26,26,0.07,0.36,0.07,0.34,0.34,11.7,0.68,2.3,0.2,0.76,380,86,190,250,45,210,0.9,6.3,1.1,n.d.
Milk chocolate with nuts,Sweets/Chocolate and cocoa products,per 100g edible portion,570,38.2,16.4,17.2,2.6,11,46.1,44.4,0.4,3.2,8.8,0.2,0,4.3,38,36,35,20,20,0.14,0.3,0.14,0.29,0.5,22.7,0.86,2.1,0.2,3.23,440,73,160,230,63,220,1.3,6.5,1.4,n.d.
"Milk chocolate with raisins, nuts, almonds",Sweets/Chocolate and cocoa products,per 100g edible portion,513,28.9,14.2,11.3,1.7,10,52.6,51,0.9,4.5,8.4,0.2,0,6.4,36,34,33,21,21,0.1,0.31,0.09,0.23,0.59,16.5,0.64,1.7,0.2,2.36,520,62,130,210,76,230,1.9,5,1.3,n.d.
"Milk chocolate, filled with alcohol",Sweets/Chocolate and cocoa products,per 100g edible portion,488,23.1,13.3,7.2,1.3,9,59,58.3,0.8,2.9,5.6,0.1,2.2,7.6,33,32,30,19,19,0.05,0.24,0.04,0.22,0.35,8.8,0.49,1.5,0.2,0.21,340,56,120,160,50,160,1.3,4.1,1,n.d.
"Milk chocolate, filled with cream (gianduja, nougat)",Sweets/Chocolate and cocoa products,per 100g edible portion,573,38.3,18.2,14.8,2.9,10,47.6,46.4,0.5,3.4,7.9,0.1,0,3.7,33,32,31,16,16,0.09,0.29,0.09,0.19,0.5,17.6,0.57,1.4,0.1,3.72,370,49,110,170,71,190,1.3,4.1,1.2,n.d.
"Milk partially skimmed, pasteurized",Milk and dairy products/Milk,per 100ml food volume,56,2.8,1.7,0.7,0.1,11,4.7,4.7,0,0,3.1,0.1,0,88.4,34,33,32,14,14,0.02,0.19,0.02,0.27,0.1,5.1,0.3,0.6,0,0.07,160,39,96,120,10,90,0,9.2,0.4,1.2
"Milk partially skimmed, UHT",Milk and dairy products/Milk,per 100ml food volume,57,2.8,1.7,0.7,0.1,11,4.6,4.6,0,0,3.3,0.1,0,88.4,34,33,32,14,14,0.02,0.19,0.03,0.16,0.12,4.3,0.37,0.5,0.1,0.09,160,38,96,120,10,94,0,10,0.4,1.2
"Milk, half skimmed 1.5 % fat, UHT",Milk and dairy products/Milk,per 100ml food volume,46,1.5,0.9,0.4,0,5,4.8,4.8,0,0,3.2,0.1,0,89.7,14,14,13,8,8,0.04,0.2,0.05,0.25,0.09,9.5,0.32,1.7,0,0.09,170,43,100,120,12,89,0,10,0.4,1.2
"Millet risotto, cooked","Cereal products, pulses and potatoes/Other cereal products",per 100g edible portion,144,3,0.5,1.6,0.7,0,24.7,1.1,19.8,1.5,3.7,0.9,0,67.3,1,0,0,3,3,0.06,0.02,0.07,0,0.49,6.9,0.11,0.3,0,0.42,43,350,530,9.6,44,95,2.3,1.3,1,n.d.
"Millet, grain peeled","Cereal products, pulses and potatoes/Other cereal products",per 100g edible portion,360,3.9,1,0.9,1.9,0,68.8,1.5,60,3.8,10.6,0,0,12.1,0,0,0,0,0,0.34,0.11,0.32,0,1.8,20,0.38,0,0,0.1,170,3,15,9.5,120,280,6.9,2.5,2.9,n.d.
"Millet, wholemeal flakes","Bread, flakes and breakfast cereals/Flakes, bran and germs",per 100g edible portion,360,3.9,0.9,0.8,1.7,0,68.8,1.6,66.4,3.9,10.6,0,0,10.5,0,0,0,0,0,0.33,0.11,0.41,0,1.8,20,0.71,0,0,0.1,170,3,15,10,120,280,6.9,2.5,2.9,n.d.
"Minced meat (average of beef, veal, pork, chicken), pan fried (without addition of fat and salt)",Meat and offal,per 100g edible portion,164,6.6,2.5,3.1,0.6,79,0,0,0,0,26.3,0.1,0,67.1,5,5,5,3,3,0.42,0.17,0.42,0.85,6.35,7,0.74,0,1,0.39,330,52,77,5.2,23,200,1.4,1.9,3.2,n.d.
"Minced meat (average of beef, veal, pork, chicken), raw",Meat and offal/Veal;Meat and offal/Beef;Meat and offal/Pork;Meat and offal/Poultry,per 100g edible portion,143,6.2,2.4,3,0.6,62,0,0,0,0,21.6,0.1,0,72.1,5,5,4,3,3,0.47,0.14,0.49,0.87,6.12,7.3,0.7,0,1,0.36,330,48,61,4.2,20,190,1.1,1.5,2.6,n.d.
Minestrone,Prepared dishes/Stews and soups,per 100g edible portion,53,1.8,0.7,0.7,0.2,1,7,2.6,4.3,0.4,2,1,0,87.6,143,72,1,850,850,0.02,0.02,0.04,0,0.79,7,0.1,1,0,tr.,110,390,300,14,5,20,0.3,n.d.,n.d.,n.d.
Minipic sausage,Sausages and cold meats/Raw sausage products,per 100g edible portion,460,39.1,15.4,18.7,3.8,97,0.8,0.8,0,0,26.1,4.5,0,26.4,1,1,tr.,7,7,0.28,0.16,0.22,1.8,7.2,2.6,0.9,3.9,1.6,tr.,390,1780,2540,tr.,28,330,3,0.8,3.9,13
"Mirabelle plum, stewed, drained (without addition of sugar)",Fruit/Cooked fruit (incl. cans),per 100g edible portion,70,0.2,0,0,0,0,16.6,12.2,0,2,0.7,0,0,80.5,42,21,0,252,227,0.05,0.01,0.04,0,0.14,4.5,0.16,2.5,0,0.31,170,0,0,12,7.5,19,0.1,1.1,0.1,1.5
Molasses,Sweets/Jams and sweet sandwich spreads,per 100g edible portion,274,0,0,0,0,0,67.2,67.2,0,0,1.2,0.2,0,25.4,0,0,0,0,0,0.08,0.1,0,0,0,0,0,0,0,0,1470,96,820,500,140,31,9.2,0,0.9,n.d.
"Molluscs, blue mussel, raw","Fish/Seafood, crustaceans and shellfish",per 100g edible portion,85,2.7,0.5,0.6,0.6,108,3.4,tr.,0,0,11.7,0.7,0,82.1,84,84,84,0,0,0.12,0.16,0.08,8,1.6,37,0.29,tr.,tr.,1.11,320,290,460,88,36,240,5.8,130,1.6,n.d.
"Morel, fresh",Vegetables/Mushrooms,per 100g edible portion,29,0.3,0.1,0,0.2,0,0.5,0.1,0,7,2.5,0,0,90,0,0,0,0,0,0.13,0.06,0.05,0,5,25,2.5,5,3.1,0.19,390,2,8,11,16,160,1.2,10,0.5,n.d.
"Morel, stewed (without addition of fat and salt)",Vegetables/Mushrooms,per 100g edible portion,34,0.4,0.1,0,0.2,0,0.6,0.1,0,8.5,2.8,0,0,88.5,0,0,0,0,0,0.12,0.06,0.05,0,4.88,18.3,2.5,4.5,3.8,0.22,370,2.1,9.3,13,16,190,1.2,12,0.5,n.d.
Mortadella,Sausages and cold meats/Boiled sausage products,per 100g edible portion,314,27.3,10.2,12.4,2.8,75,0.8,0.8,0,0,16.1,2.1,0,55.7,5,5,5,0,0,0.37,0.12,0.2,1.08,3.05,3.1,0.49,25.5,0,0.42,100,840,1240,3.9,13,170,0.9,1.5,1.3,n.d.
"Mostbröckli (smoked and dried beef), raw",Sausages and cold meats/Raw sausage products,per 100g edible portion,150,1.9,0.9,0.9,0.2,69,0.5,0.5,0,0,32.6,4.7,0,58.4,2,2,2,0,0,0.1,0.17,0.37,1.4,7.1,tr.,0.9,11.6,tr.,tr.,580,1860,2870,tr.,33,300,3.3,tr.,5.9,14
Mozzarella,Milk and dairy products/Soft cheese;Milk and dairy products/Fresh cheese and curds,per 100g edible portion,256,19.5,11.4,6,0.7,46,0.7,0.7,0,0,19.5,0.4,0,58.8,205,194,183,130,130,0.03,0.27,0.07,1.4,0.4,16,0.14,0,0.3,0.39,8,140,810,340,10,350,0.1,4.8,2.6,n.d.
"Muesli mix, crunchy, fortified with vitamin and mineral","Bread, flakes and breakfast cereals/Muesli mixes and breakfast cereals",per 100g edible portion,420,11.9,2.9,3.8,4.5,0,63.4,17,40.1,9.1,10.3,0.5,0,9.1,3,2,0,16,16,0.9,1.2,1.2,2.1,13.4,306.3,5,66.5,2.5,10,300,200,350,180,130,250,4.3,1.4,1.8,n.d.
"Mueslimix, cereal with fruits and nuts, sweetened ","Bread, flakes and breakfast cereals/Muesli mixes and breakfast cereals",per 100g edible portion,365,5.6,0.7,2.2,2.1,0,62.2,10.6,50.8,10.1,11.4,0.1,0,11.5,7,3,0,39,39,0.35,0.1,0.17,0,2.02,48.7,0.71,1.4,0,1.29,390,46,140,45,94,310,3.1,2.1,2.3,n.d.
"Müeslimix, cereal with fruits and nuts, unsweetened","Bread, flakes and breakfast cereals/Muesli mixes and breakfast cereals",per 100g edible portion,372,8.4,1.5,3.3,2.8,0,57.4,11.6,44.6,10.8,11.3,0,0,13,6,3,0,35,35,0.36,0.12,0.23,0,2.2,52.4,0.73,4.2,0,2.49,450,14,44,55,110,310,3.3,2.4,2.3,n.d.
"Müeslimix, crunchy, sweetened (average) ","Bread, flakes and breakfast cereals/Muesli mixes and breakfast cereals",per 100g edible portion,430,15.9,3.9,4.9,6.2,0,58.6,18.1,40.1,7.7,9.4,0.4,0,9.1,3,2,0,16,16,0.2,0.09,0.12,0,1.05,24.1,0.44,1.2,0,4.37,300,170,350,36,76,250,2.6,1.4,1.8,n.d.
"Mueslimix, crunchy, with chocolate","Bread, flakes and breakfast cereals/Muesli mixes and breakfast cereals",per 100g edible portion,442,17.4,5.2,5.4,5.8,0,58.8,19.8,38.6,7.2,9,0.4,0,8.3,3,2,1,15,15,0.19,0.09,0.1,0,0.64,18.8,0.38,0.2,0,3.67,310,150,310,37,75,240,2.7,1.1,1.9,n.d.
"Mueslimix, crunchy, with fruits, sweetened ","Bread, flakes and breakfast cereals/Muesli mixes and breakfast cereals",per 100g edible portion,424,15,3.5,4.1,6.5,0,59.8,18.8,40.6,7.6,8.7,0.5,0,9.4,3,1,0,18,18,0.19,0.08,0.12,0,1.12,22.6,0.44,2.2,0,4.46,270,190,400,31,66,220,2.4,1.5,1.7,n.d.
"Mueslimix, crunchy, with nuts and seeds, sweetened ","Bread, flakes and breakfast cereals/Muesli mixes and breakfast cereals",per 100g edible portion,431,16.1,3.2,5.8,6,0,56.1,15.1,40.5,8.2,11.3,0.3,0,9.2,2,1,0,13,13,0.25,0.12,0.15,0,1.32,32.3,0.5,0.2,0,4.87,330,130,280,46,97,300,2.8,1.5,2.2,n.d.
"Mushroom (average), raw",Vegetables/Mushrooms,per 100g edible portion,29,0.4,0.1,0,0.2,0,0.6,0.2,0.1,4.9,3.5,0,0,91.7,22,11,0,130,130,0.14,0.38,0.06,0,7.12,21.1,2.19,3.7,2.6,0.11,400,4.2,34,7.6,13,99,2.4,8.7,0.8,n.d.
"Mushroom (average), stewed (without addition of fat and salt)",Vegetables/Mushrooms,per 100g edible portion,34,0.4,0.1,0,0.2,0,0.7,0.2,0.1,6,3.9,0,0,90.2,26,13,0,159,159,0.14,0.39,0.05,0,6.94,15.5,2.19,3.3,3.1,0.13,380,4.4,39,8.9,13,110,2.5,10,0.8,n.d.
"Mushroom risotto, prepared",Prepared dishes/Other savoury dishes,per 100g edible portion,128,3.9,1.9,1.4,0.3,7,18.5,0.5,16.9,1.5,4,0.5,0,72.4,28,27,26,13,13,0.05,0.14,0.02,0.08,2.09,7.2,0.47,0.4,0.6,0.3,55,210,370,70,10,81,0.2,3.3,0.6,n.d.
"Mushroom sauce, thickened",Various/Sauces,per 100g edible portion,132,8.9,5.4,2.1,0.5,28,8.5,4,4.4,0.7,3.9,0.6,0,78.1,89,86,83,37,37,0.05,0.26,0.03,0.13,1.21,4.3,0.48,0.8,0.4,0.25,170,250,410,110,11,90,0.1,8.7,0.5,n.d.
Mushroom soup,Prepared dishes/Stews and soups,per 100g edible portion,38,1.2,<0.5,0.2,0.5,0,5.5,2,3.5,<0.5,1.1,0.9,0,90.2,27,22,17,60,60,0.03,0.07,0.01,0,0.4,3,0.1,0,0,0.14,68,370,290,40,5,36,0.2,4.9,0.3,n.d.
"Mushroom, canned",Vegetables/Mushrooms,per 100g edible portion,19,0.3,0,0,0.1,0,0.5,tr.,tr.,2.5,2.2,0.9,0,92,2,1,0,10,10,0.02,0.19,0.06,0,2,10,2,2,0,0,120,340,400,23,12,69,0.8,18,0.5,n.d.
"Mushroom, raw",Vegetables/Mushrooms,per 100g edible portion,25,0.3,0,0,0.1,0,1.1,0.3,0.2,1.9,3.7,0,0,92,1,0,0,3,3,0.1,0.31,0.1,0,3.62,21.7,1.99,2.1,1.9,0,370,5.7,67,7,11,110,1,18,0.5,n.d.
"Mushroom, stewed (without addition of fat and salt)",Vegetables/Mushrooms,per 100g edible portion,29,0.3,0.1,0,0.2,0,1.2,0.3,0.2,2.3,4.2,0,0,93.2,1,0,0,4,4,0.1,0.31,0.1,0,3.53,15.9,1.99,1.8,2.3,0,350,6,78,8.3,11,120,1,21,0.6,n.d.
Mustard,Various/Sauces,per 100g edible portion,124,7.7,0.5,4.1,2.7,0,3.8,2.6,<0.4,5.3,7.1,4.1,0,67.8,5,2,0,29,29,0.24,0.04,0.02,0,1.15,18,0.21,<0.5,0,1.34,200,1640,2460,110,95,210,1.7,<20,1.1,n.d.
"Nasi Goreng, prepared",Prepared dishes/Asian dishes,per 100g edible portion,125,1.8,0.3,1.1,0.3,23,16.1,0.6,13.5,0.5,10.8,1.3,0,70.9,30,16,2,167,167,0.11,0.06,0.18,0.07,4.07,4.6,0.4,10.9,0.4,0.37,170,510,780,18,17,120,0.3,1.3,0.7,n.d.
"Nectarine, fresh",Fruit/Fresh fruit,per 100g edible portion,55,0.3,0,0.1,0.1,0,11.3,8.8,tr.,1.3,1,0,0,86.1,30,15,0,178,130,0.02,0.02,0.02,0,0.64,8,0.24,4.6,0,0.43,260,<1,7,7,9,25,0.2,3,0.1,<0.2
"Norway lobster, raw","Fish/Seafood, crustaceans and shellfish",per 100g edible portion,93,1.3,0.2,0.3,0.4,95,0.8,0,0.8,0,19.6,0.9,0,75.9,0,0,0,0,0,0.13,0.01,0.21,0.9,5.67,17,1.5,3,0,1.5,210,340,tr.,29,68,180,2,240,4.6,n.d.
Nut roll with yeast dough,Sweets/Other sweet pastries,per 100g edible portion,445,18.7,5.7,9.6,1.9,61,54.9,12.9,40.6,3.8,12.2,1.2,0,11.4,82,80,77,31,31,0.33,0.19,0.21,0.17,1.51,58.3,0.76,0.5,0.4,3.12,300,470,740,69,42,170,1.6,6.5,1.2,n.d.
Nut sticks,Sweets/Cookies/Biscuits,per 100g edible portion,567,36.6,12.5,17.7,3.1,140,47,22.6,22.3,3.7,10.5,0.1,0,3.3,182,176,171,68,68,0.19,0.08,0.2,0.29,0.46,29.5,0.89,0.5,0.8,5.11,280,56,98,61,55,180,1.9,11,1.5,5.6
Nut tart from Engadin,Sweets/Cakes and tarts,per 100g edible portion,481,27.7,10.2,6.2,8.7,62,49.9,30.9,18.2,2,7,0,0,14.1,158,153,148,64,64,0.11,0.05,0.06,0.11,0.17,23.6,0.47,0.2,0.4,0.89,150,15,42,33,30,110,0.8,4.5,0.8,n.d.
"Oat bran, raw","Bread, flakes and breakfast cereals/Flakes, bran and germs",per 100g edible portion,371,7,1.3,2.4,2.8,0,50.8,1.5,49.3,15.4,18.5,0,0,6.6,0,0,0,0,0,0.85,0.22,0.36,0,0.93,52,1.25,0,0,1.01,570,4,61,58,240,730,5.4,0.8,3.1,n.d.
"Oat drink, plain",Milk and dairy products/Milk substitutes,per 100ml food volume,47,1.5,0.2,0.5,0.7,0,7.8,3.6,0.8,0.2,0.5,0.1,0,90.7,0,0,tr.,0,tr.,0.03,0.01,0.01,0,0.06,2.3,0.15,tr.,tr.,0.51,30,40,64,1,4.2,11,0,0.4,0,0.2
"Oat drink, plain, with calcium and vitamin fortified",Milk and dairy products/Milk substitutes,per 100ml food volume,48,1.5,0.2,0.5,0.7,0,7.8,3.6,0.8,0.9,0.5,0.1,0,90.7,0,0,tr.,n.d.,tr.,0.03,0.15,0.01,0.26,0.06,2.3,0.15,tr.,0.9,0.51,30,40,64,120,4.2,29,0,8.7,0,0.2
Oat flakes,"Bread, flakes and breakfast cereals/Flakes, bran and germs",per 100g edible portion,381,7.5,1,3,3,0,59.5,1,58,10.5,13.5,0.1,0,8.7,0,0,0,1,<1,0.42,0.13,0.1,0,0.8,47.2,0.69,0,0,0.75,400,20,61,53,120,410,3.8,0.5,3,n.d.
Olive oil,Fats and oils/Oils,per 100ml food volume,810,90,10.7,67.7,6.7,0,0,0,0,0,0,0,0,0,13,7,0,79,79,0,0,0,0,0,0,0,0,0,25.92,0.9,0.9,90,0,0.9,1.8,0.1,0.1,0,0
